id,title,venueId,startDate,endDate,description
55,Healthy Living Expo,45,2024-02-22T12:30:00.000Z,2024-02-22T14:30:00.000Z,"Promoting holistic health and wellness with exhibits, demonstrations, and seminars on nutrition, fitness, and mental wellbeing."
56,Startup Accelerator Demo Day,13,2024-02-25T10:00:00.000Z,2024-02-25T12:00:00.000Z,"Startups showcase their progress, products, and pitches to investors, mentors, and the entrepreneurial community."
57,International Film Festival,26,2024-02-28T16:00:00.000Z,2024-02-28T18:00:00.000Z,"Screening a diverse selection of international films, documentaries, and cinematic masterpieces from around the globe."
58,Entrepreneurship Bootcamp,34,2024-02-01T10:00:00.000Z,2024-02-01T12:00:00.000Z,"Intensive training, mentorship, and workshops for aspiring entrepreneurs to develop their business ideas and ventures."
59,Fine Wine Tasting,8,2024-02-04T17:30:00.000Z,2024-02-04T19:30:00.000Z,"An elegant evening of wine tasting featuring a selection of fine wines, expert sommeliers, and gourmet pairings."
60,International Music Festival,9,2024-02-07T19:00:00.000Z,2024-02-07T21:00:00.000Z,"A showcase of musical talent from around the world, featuring live performances, concerts, and cultural exchanges."
61,Virtual Reality Gaming Expo,28,2024-02-10T13:30:00.000Z,2024-02-10T15:30:00.000Z,"Immerse yourself in the world of virtual reality gaming with demos, tournaments, and the latest VR gaming technology."
62,Artists' Retreat,7,2024-02-13T16:30:00.000Z,2024-02-13T18:30:00.000Z,"A creative getaway for artists to collaborate, create, and find inspiration in a supportive and scenic environment."
63,Sustainable Fashion Symposium,50,2024-02-16T11:30:00.000Z,2024-02-16T13:30:00.000Z,"Exploring sustainable practices, ethical fashion, and eco-friendly innovations in the fashion industry."
64,International Book Fair,11,2024-02-19T15:00:00.000Z,2024-02-19T17:00:00.000Z,"Browse a wide array of books, authors, and literary events celebrating the written word and the love of reading."
65,Future of Mobility Forum,16,2024-02-22T11:00:00.000Z,2024-02-22T13:00:00.000Z,"Discussing the future of transportation, urban mobility, and sustainable mobility solutions with industry experts and innovators."
66,Youth Arts Showcase,29,2024-02-25T15:30:00.000Z,2024-02-25T17:30:00.000Z,"Showcasing the artistic talents of young creatives with exhibitions, performances, and interactive art experiences."
67,Green Technology Expo,31,2024-02-28T09:30:00.000Z,2024-02-28T11:30:00.000Z,"Highlighting green technologies, renewable energy solutions, and eco-friendly innovations for a sustainable future."
68,Leadership and Management Seminar,37,2024-02-01T14:00:00.000Z,2024-02-01T16:00:00.000Z,"Developing effective leadership and management skills through workshops, case studies, and interactive discussions."
69,Culinary Arts Workshop,21,2024-02-04T16:00:00.000Z,2024-02-04T18:00:00.000Z,"Hands-on culinary experiences, cooking techniques, and gourmet recipes taught by expert chefs and culinary professionals."
70,International Film Awards Gala,26,2024-02-07T20:00:00.000Z,2024-02-07T22:00:00.000Z,"Honoring excellence in filmmaking with awards, screenings, and red-carpet celebrations at a prestigious international film gala."
71,Women in Technology Conference,23,2024-02-10T14:00:00.000Z,2024-02-10T16:00:00.000Z,"Empowering women in the tech industry with networking opportunities, career development workshops, and inspiring keynote speakers."
72,Artisanal Coffee Tasting,6,2024-02-13T17:00:00.000Z,2024-02-13T19:00:00.000Z,"Savor the flavors of specialty coffees from around the world with expert-led tastings, brewing demonstrations, and coffee pairings."
73,International Dance Festival,5,2024-02-16T10:00:00.000Z,2024-02-16T12:00:00.000Z,"Celebrating dance and movement with performances, workshops, and cultural exchanges showcasing diverse dance styles and traditions."
74,Global Health Summit,45,2024-02-19T13:00:00.000Z,2024-02-19T15:00:00.000Z,"Addressing global health challenges, disease prevention, and healthcare innovations with leading experts, policymakers, and healthcare professionals."
75,Future of Work Conference,33,2024-02-22T10:30:00.000Z,2024-02-22T12:30:00.000Z,"Exploring the changing landscape of work, remote collaboration tools, and the future of employment with industry leaders and thought influencers."
76,Youth Environmental Symposium,10,2024-02-25T14:00:00.000Z,2024-02-25T16:00:00.000Z,"Engaging youth in environmental conservation, sustainability, and climate action through educational sessions, workshops, and hands-on activities."
77,International Art Exhibition,7,2024-02-28T17:30:00.000Z,2024-02-28T19:30:00.000Z,"Featuring contemporary artworks, installations, and multimedia exhibits by emerging and established artists from around the world."
78,Space Exploration Forum,22,2024-02-01T11:30:00.000Z,2024-02-01T13:30:00.000Z,"Exploring the frontiers of space exploration, astronomy, and interstellar discoveries with leading scientists, astronauts, and space agencies."
79,Music Industry Conference,9,2024-02-04T18:30:00.000Z,2024-02-04T20:30:00.000Z,"Insights, trends, and networking opportunities for music industry professionals, artists, and enthusiasts to navigate the evolving music landscape."
80,International Food Festival,19,2024-02-07T17:00:00.000Z,2024-02-07T19:00:00.000Z,"A culinary journey around the world with international cuisines, street food vendors, and gastronomic delights for food lovers of all ages."
81,Virtual Reality Film Showcase,28,2024-02-10T14:30:00.000Z,2024-02-10T16:30:00.000Z,"Experience immersive storytelling with virtual reality films, VR cinema technology, and interactive narrative experiences at this cutting-edge film showcase."
82,Artificial Intelligence Summit,24,2024-02-13T09:00:00.000Z,2024-02-13T11:00:00.000Z,"Exploring the latest trends, breakthroughs, and ethical considerations in artificial intelligence and machine learning with AI experts and industry leaders."
83,Youth Leadership Workshop,30,2024-02-16T14:30:00.000Z,2024-02-16T16:30:00.000Z,"Building leadership skills and confidence in young adults through interactive workshops, team-building activities, and personal development sessions."
84,Global Economic Forum,27,2024-02-19T16:00:00.000Z,2024-02-19T18:00:00.000Z,"Analyze global economic trends, geopolitical challenges, and business opportunities with leading economists, policymakers, and industry analysts."
85,Future of Transportation Expo,16,2024-02-22T11:30:00.000Z,2024-02-22T13:30:00.000Z,"Showcasing cutting-edge transportation technologies, smart mobility solutions, and sustainable transit options for the future of urban mobility."
86,Youth Empowerment Workshop,32,2024-02-25T15:00:00.000Z,2024-02-25T17:00:00.000Z,"Inspiring and empowering young people to create positive change in their communities through leadership development, skill-building workshops, and motivational talks."
87,International Science Fair,20,2024-02-28T14:30:00.000Z,2024-02-28T16:30:00.000Z,"Showcasing the scientific achievements and innovations of young researchers through exhibits, demonstrations, and presentations at an international science fair."
88,Entrepreneurship Conference,34,2024-02-01T12:30:00.000Z,2024-02-01T14:30:00.000Z,"Empowering entrepreneurs with practical insights, startup success stories, and networking opportunities to launch and grow their businesses."
89,Artificial Intelligence Expo,24,2024-02-04T19:00:00.000Z,2024-02-04T21:00:00.000Z,"Discover the latest AI applications, robotics, and machine learning technologies reshaping industries and transforming the way we live and work."
90,International Music Awards,9,2024-02-07T21:30:00.000Z,2024-02-07T23:30:00.000Z,"Recognizing musical excellence and talent with awards, performances, and star-studded festivities at an international music awards ceremony."
91,Health and Wellness Symposium,45,2024-02-10T15:00:00.000Z,2024-02-10T17:00:00.000Z,"Explore holistic approaches to health and wellness with expert panels, workshops, and interactive sessions on nutrition, mindfulness, and self-care."
92,Future of Technology Conference,23,2024-02-13T09:30:00.000Z,2024-02-13T11:30:00.000Z,"Analyze emerging technologies, digital trends, and the impact of tech innovation on industries, society, and the future of work."
93,Youth Leadership Forum,30,2024-02-16T15:00:00.000Z,2024-02-16T17:00:00.000Z,"Fostering leadership skills and civic engagement in young leaders through interactive workshops, discussions, and community-building activities."
94,Global Innovation Summit,38,2024-02-19T16:30:00.000Z,2024-02-19T18:30:00.000Z,"Exploring groundbreaking innovations, disruptive technologies, and entrepreneurial ventures shaping the future of business and society."
95,Artificial Intelligence Workshop,24,2024-02-22T12:00:00.000Z,2024-02-22T14:00:00.000Z,"Hands-on AI workshops, coding challenges, and deep learning tutorials for enthusiasts, developers, and AI professionals to hone their skills and explore new possibilities."
96,Youth Environmental Conference,10,2024-02-25T15:30:00.000Z,2024-02-25T17:30:00.000Z,"Raising awareness about environmental issues, sustainability, and conservation efforts through educational sessions, expert panels, and eco-friendly initiatives."
97,International Culinary Competition,19,2024-02-28T15:00:00.000Z,2024-02-28T17:00:00.000Z,"Top chefs compete in a culinary showdown, showcasing their skills, creativity, and gastronomic expertise in a prestigious international cooking competition."
98,Entrepreneurship Workshop,34,2024-02-01T13:00:00.000Z,2024-02-01T15:00:00.000Z,"Practical workshops, startup boot camps, and mentorship sessions for aspiring entrepreneurs to develop their business ideas and launch successful ventures."
99,Virtual Reality Gaming Tournament,28,2024-02-04T19:30:00.000Z,2024-02-04T21:30:00.000Z,"Compete against gamers from around the world in an adrenaline-pumping virtual reality gaming tournament featuring popular VR games and immersive experiences."
100,Youth Empowerment Conference,32,2024-02-07T22:30:00.000Z,2024-02-07T23:30:00.000Z,"Inspiring and empowering young leaders to make a positive impact through leadership development, skill-building workshops, and motivational talks."
